date,ticker,bank_name,open,high,low,close,volume,pct_change
2026-02-06,CTG,VietinBank,38200.0,38350.0,37400.0,37400.0,24923570,-3.1088082901554404
2026-02-09,CTG,VietinBank,37700.0,37850.0,36800.0,37100.0,9941257,-0.8021390374331583
2026-02-10,CTG,VietinBank,37500.0,37600.0,36650.0,37100.0,12868370,0.0
2026-02-11,CTG,VietinBank,37450.0,38250.0,37300.0,37900.0,13761680,2.156334231805923
2026-02-12,CTG,VietinBank,38300.0,38300.0,37750.0,38000.0,8796499,0.26385224274405594
2026-02-13,CTG,VietinBank,38000.0,38600.0,37700.0,38600.0,9771855,1.5789473684210575
2024-01-02,MBB,MBBank,11770.186139510417,11959.012146171079,11738.714671866053,11864.599609375,22945177,
2024-01-03,MBB,MBBank,11801.656835849657,12084.897249325737,11770.186300842437,12053.42578125,21031434,1.5915090107701202
2024-01-04,MBB,MBBank,12053.425558711408,12871.673449819822,12053.425558711408,12651.3759765625,75467218,4.960831934126619
2024-01-05,MBB,MBBank,12651.375598030962,12903.14453125,12651.375598030962,12903.14453125,39257757,1.990048791166421
2024-01-08,MBB,MBBank,12966.08632129424,13123.441785374118,12840.202323257725,13029.0283203125,30583601,0.9756055104058081
2024-01-09,MBB,MBBank,13060.500380928837,13154.913850288582,12903.144909685429,13123.4423828125,41138255,0.7246439272283078
2024-01-10,MBB,MBBank,13123.44162029003,13312.26854803795,12997.55762383705,13154.9130859375,38989374,0.23980524474445097
2024-01-11,MBB,MBBank,13154.913079207447,13280.797075596025,12903.144153361844,12997.5576171875,47785956,-1.196172621757663
2024-01-12,MBB,MBBank,12903.144904897152,13564.03732403311,12840.202903036847,13438.1533203125,70080747,3.3898345835557064
2024-01-15,MBB,MBBank,13532.567171477414,13784.336119091147,13469.625167841112,13501.095703125,38915903,0.4683856577031298
2024-01-16,MBB,MBBank,13501.094939677207,13532.56640625,13312.268939445865,13532.56640625,27310945,0.23309740051480343
2024-01-17,MBB,MBBank,13595.508406327113,13721.392406481342,13406.681473027298,13532.56640625,32609797,0.0
2024-01-18,MBB,MBBank,13469.624197999468,13689.921661398901,13406.681265826664,13658.4501953125,35981609,0.9302284968234931
2024-01-19,MBB,MBBank,13721.392578178968,13941.690047739716,13658.450577314252,13878.748046875,33522449,1.61290518625683
2024-01-22,MBB,MBBank,14036.103730217003,14193.45920131938,13847.277724735248,13910.2197265625,56851270,0.22676166165136458
2024-01-23,MBB,MBBank,13910.219129283689,14067.574593629517,13784.335131034411,13815.8056640625,36114282,-0.6787388291193519
2024-01-24,MBB,MBBank,13752.863495229303,13941.689490273133,13721.392029521108,13784.3349609375,30647964,-0.2277876794898881
2024-01-25,MBB,MBBank,13815.805493577247,13815.805493577247,13658.450031173164,13784.3349609375,22480213,0.0
2024-01-26,MBB,MBBank,13784.335343654495,13941.689877359018,13784.335343654495,13847.27734375,14462289,0.45662255735128277
2024-01-29,MBB,MBBank,13847.276922388875,14130.516380734143,13847.276922388875,13941.689453125,23812866,0.6818099113008236
2024-01-30,MBB,MBBank,13941.690260941876,14004.633195837627,13752.864255460121,13910.2197265625,22140181,-0.22572391006346892
2024-01-31,MBB,MBBank,14004.63280850055,14004.63280850055,13626.979874913586,13689.921875,42306811,-1.5837122338321241
2024-02-01,MBB,MBBank,13658.450031173164,13815.805493577247,13595.508032825222,13784.3349609375,20513037,0.6896539425101711
2024-02-02,MBB,MBBank,13784.33534166386,13847.277341750276,13689.921875,13689.921875,29224384,-0.6849302937359747
2024-02-05,MBB,MBBank,13689.921682508775,14571.111537465302,13689.921682508775,14445.2275390625,56825419,5.517238673522384
2024-02-06,MBB,MBBank,14476.699387976416,14571.111922740653,14445.227921009347,14508.169921875,17865797,0.4357313350882963
2024-02-07,MBB,MBBank,14539.641179843898,14917.294112677775,14539.641179843898,14791.4091796875,33258317,1.9522741967988644
2024-02-15,MBB,MBBank,14917.29470213696,15232.005647445787,14822.88123193061,15200.5341796875,38060055,2.765963641664615
2024-02-16,MBB,MBBank,15169.06211716768,15169.06211716768,14917.29411724696,15106.1201171875,24948633,-0.6211233196407373
2024-02-19,MBB,MBBank,15106.12092576536,15169.062929114607,14854.35291236838,15074.650390625,32071241,-0.20832435012014816
2024-02-20,MBB,MBBank,15011.7080078125,15169.062545673773,14885.823071227584,15011.7080078125,34722412,-0.4175379274576341
2024-02-21,MBB,MBBank,15011.707583751466,15232.005050216332,14917.29411724696,15106.1201171875,39899415,0.6289231666767314
2024-02-22,MBB,MBBank,15106.12092576536,15169.062929114607,15011.708387275754,15074.650390625,23064340,-0.20832435012014816
2024-02-23,MBB,MBBank,15106.1207134019,15546.716596789718,14948.765240706645,15043.1787109375,84091476,-0.20877220281720898
2024-02-26,MBB,MBBank,15043.17811720732,15137.591583711826,14885.822650722634,15106.1201171875,37014153,0.41840496253784387
2024-02-27,MBB,MBBank,15137.591585958458,15389.360518985017,15011.707585979415,15263.4755859375,38639323,1.041667003368807
2024-02-28,MBB,MBBank,15326.418180687213,15452.303118619846,15200.53417582309,15357.8896484375,29432805,0.6185620173362327
2024-02-29,MBB,MBBank,15420.831654789978,15452.303122548265,15074.650174791374,15200.5341796875,38153715,-1.0245904375671078
2024-03-01,MBB,MBBank,15169.06211716768,15200.533583692006,14980.23611722714,15106.1201171875,41625229,-0.6211233196407373
2024-03-04,MBB,MBBank,15169.062922982677,15389.361334218765,14948.76544481511,15232.005859375,56275447,0.8333426532486587
2024-03-05,MBB,MBBank,15232.005431280711,15515.244904811658,15169.062496657394,15483.7734375,43671190,1.652885249975422
2024-03-06,MBB,MBBank,15483.7734375,15829.954912585767,15326.417967078696,15483.7734375,45342811,0.0
2024-03-07,MBB,MBBank,15546.716588802194,15609.658591234256,15326.418180687213,15357.8896484375,39493638,-0.8130045920048401
2024-03-08,MBB,MBBank,15420.830474233753,15420.830474233753,14854.3515625,14854.3515625,77726457,-3.2786932154362125
2024-03-11,MBB,MBBank,14822.880467339362,14854.351933474294,14350.81407372617,14445.2275390625,58308353,-2.7542368424235963
2024-03-12,MBB,MBBank,14413.756664920966,14634.054137708026,14319.34412877544,14539.6416015625,37282383,0.653600382857844
2024-03-13,MBB,MBBank,14539.641595023186,15011.7080078125,14539.641595023186,15011.7080078125,27392613,3.2467540754186786
2024-03-14,MBB,MBBank,15074.64940581759,15074.64940581759,14728.467010409606,14759.9384765625,31462371,-1.677154465827424
2024-03-15,MBB,MBBank,14759.938858558697,15011.707795092394,14571.111922891301,14980.236328125,38885239,1.4925390909475311
2024-03-18,MBB,MBBank,14948.764470054291,14980.235936198302,14099.045147919125,14602.5830078125,50036923,-2.521010430279169
2024-03-19,MBB,MBBank,14602.5830078125,14696.996473176067,14445.227543229379,14602.5830078125,32325658,0.0
2024-03-20,MBB,MBBank,14602.583756828133,15357.889652341913,14539.641754380069,15200.5341796875,60986105,4.094831520937703
2024-03-21,MBB,MBBank,15294.947056868892,15578.1865234375,15169.062123785143,15578.1865234375,52423219,2.4844675804529093
2024-03-22,MBB,MBBank,15735.543137975594,16176.138077115185,15641.128737071913,15767.013671875,63365418,1.2121253533163623
2024-03-25,MBB,MBBank,15767.013284469447,15955.840215500237,15483.77288792326,15546.7158203125,36080886,-1.39720720833435
2024-03-26,MBB,MBBank,15546.716949556429,15892.8984375,15483.774012595295,15892.8984375,26072864,2.2267250600618516
